c,a,d,C-IonicRadius,C-ElectroNegativity,A-IonicRadius,A-ElectroNegativity,D-IonicRadius,D-ElectroNegativity,FormEnergyPerAtom
Ba2+,Yb3+,Sn4+,1.49,0.89,1.008,1.1,0.83,1.96,-0.19682195262499996
Ba2+,Yb3+,Ti4+,1.49,0.89,1.008,1.1,0.745,1.54,-6.568143895749999
Dy3+,Al3+,Al3+,1.052,1.22,0.675,1.61,0.675,1.61,-0.05368180999999979
Pr3+,Tm3+,Ga3+,1.13,1.13,1.02,1.25,0.76,1.81,-0.07715495668750023
Er3+,Lu3+,Al3+,1.03,1.24,1.001,1.27,0.675,1.61,-0.004701029281250513
Yb3+,Sc3+,Al3+,1.008,1.1,0.885,1.36,0.675,1.61,-0.2039537562500005
Ba2+,Lu3+,Si4+,1.49,0.89,1.001,1.27,0.54,1.9,-0.15031943881249887
Zn2+,Yb3+,Ge4+,0.88,1.65,1.008,1.1,0.67,2.01,0.021545051875000353
Ba2+,Lu3+,Ge4+,1.49,0.89,1.001,1.27,0.67,2.01,-0.2196009296874994
Sr2+,Lu3+,Si4+,1.32,0.95,1.001,1.27,0.54,1.9,-0.17896065918750068
Mg2+,Yb3+,Ge4+,0.86,1.31,1.008,1.1,0.67,2.01,-0.05304476049999991
Gd3+,Lu3+,Al3+,1.075,1.2,1.001,1.27,0.675,1.61,-0.030512958468749574
Tb3+,Lu3+,Al3+,1.063,1.1,1.001,1.27,0.675,1.61,-0.027504287593750475
Zn2+,Lu3+,Sn4+,0.88,1.65,1.001,1.27,0.83,1.96,0.3273517846875002
Er3+,Al3+,Al3+,1.03,1.24,0.675,1.61,0.675,1.61,-0.049174795718749206
Yb3+,Cr3+,Ga3+,1.008,1.1,0.755,1.66,0.76,1.81,-0.2321904849374988
Ca2+,Yb3+,Sn4+,1.14,1.0,1.008,1.1,0.83,1.96,-0.09235310987500008
Zn2+,Al3+,Ti4+,0.88,1.65,0.675,1.61,0.745,1.54,0.15562409837500155
Bi3+,Al3+,Al3+,1.17,2.02,0.675,1.61,0.675,1.61,0.0071940353125000914
Eu3+,Ga3+,Ga3+,1.087,1.2,0.76,1.81,0.76,1.81,-0.028478804953125093
Sr2+,Lu3+,Sn4+,1.32,0.95,1.001,1.27,0.83,1.96,-0.07327088206250068
Cd2+,Yb3+,Sn4+,1.09,1.69,1.008,1.1,0.83,1.96,0.022183551624999964
Yb3+,Yb3+,Ga3+,1.008,1.1,1.008,1.1,0.76,1.81,-0.3116374763124995
Mg2+,Yb3+,Si4+,0.86,1.31,1.008,1.1,0.54,1.9,-0.01974589662499966
Tm3+,In3+,Ga3+,1.02,1.25,0.94,1.78,0.76,1.81,-0.011448557718750151
Yb3+,Rh3+,Ga3+,1.008,1.1,0.805,2.28,0.76,1.81,-0.24156229606249938
Lu3+,Cr3+,Ga3+,1.001,1.27,0.755,1.66,0.76,1.81,-0.04168024084374977
Dy3+,Yb3+,Ga3+,1.052,1.22,1.008,1.1,0.76,1.81,-0.12503756462499993
Ba2+,Al3+,Ti4+,1.49,0.89,0.675,1.61,0.745,1.54,-0.09286365224999997
Yb3+,Tm3+,Al3+,1.008,1.1,1.02,1.25,0.675,1.61,-0.17655718062499942
Pr3+,Lu3+,Al3+,1.13,1.13,1.001,1.27,0.675,1.61,-0.06022714506250004
Yb3+,Ga3+,Ga3+,1.008,1.1,0.76,1.81,0.76,1.81,-0.21423730106250005
Tm3+,Lu3+,Ga3+,1.02,1.25,1.001,1.27,0.76,1.81,-0.003135909718750085
Zn2+,Lu3+,Si4+,0.88,1.65,1.001,1.27,0.54,1.9,0.1487926154374996
Ca2+,Al3+,Ge4+,1.14,1.0,0.675,1.61,0.67,2.01,-0.17196892462500024
Sr2+,Yb3+,Sn4+,1.32,0.95,1.008,1.1,0.83,1.96,-0.17409711399999955
Sm3+,Yb3+,Al3+,1.0979999999999999,1.17,1.008,1.1,0.675,1.61,-0.13875625471874997
Mg2+,Lu3+,Sn4+,0.86,1.31,1.001,1.27,0.83,1.96,0.25664335243750147
Ca2+,Lu3+,Si4+,1.14,1.0,1.001,1.27,0.54,1.9,-0.1403032464374995
Cd2+,Yb3+,Ge4+,1.09,1.69,1.008,1.1,0.67,2.01,-0.17354517212500015
Zn2+,Rh3+,Sn4+,0.88,1.65,0.805,2.28,0.83,1.96,0.2767354402500001
Tm3+,Yb3+,Ga3+,1.02,1.25,1.008,1.1,0.76,1.81,-0.09109798115625053
Lu3+,Tm3+,Ga3+,1.001,1.27,1.02,1.25,0.76,1.81,0.027926874718750126
Zn2+,Yb3+,Si4+,0.88,1.65,1.008,1.1,0.54,1.9,0.06165682224999998
Yb3+,Dy3+,Ga3+,1.008,1.1,1.052,1.22,0.76,1.81,-0.17403999981249924
Yb3+,In3+,Ga3+,1.008,1.1,0.94,1.78,0.76,1.81,-0.2015218448749998
Bi3+,Al3+,Ga3+,1.17,2.02,0.675,1.61,0.76,1.81,-0.012150484687500195
Zn2+,Yb3+,Sn4+,0.88,1.65,1.008,1.1,0.83,1.96,0.2317092263750002
Y3+,Yb3+,Ga3+,1.04,1.22,1.008,1.1,0.76,1.81,-0.12531077950000052
Ba2+,Lu3+,Ti4+,1.49,0.89,1.001,1.27,0.745,1.54,-0.21431511431249817
Er3+,Yb3+,Al3+,1.03,1.24,1.008,1.1,0.675,1.61,-0.09338019821875036
Ho3+,Al3+,Al3+,1.041,1.23,0.675,1.61,0.675,1.61,-0.0512223720625002
Yb3+,Sc3+,Ga3+,1.008,1.1,0.885,1.36,0.76,1.81,-0.21219829962499936
Sr2+,In3+,Sn4+,1.32,0.95,0.94,1.78,0.83,1.96,-0.05500721406250016
Sr2+,Yb3+,Ge4+,1.32,0.95,1.008,1.1,0.67,2.01,-0.33013502162500075
Cd2+,Yb3+,Si4+,1.09,1.69,1.008,1.1,0.54,1.9,-0.1195780546249999
