c,a,d,C-IonicRadius,C-ElectroNegativity,A-IonicRadius,A-ElectroNegativity,D-IonicRadius,D-ElectroNegativity,FormEnergyPerAtom
Er3+,In3+,Ga3+,1.03,1.24,0.94,1.78,0.76,1.81,-0.020808878281250286
Mg2+,Sc3+,Si4+,0.86,1.31,0.885,1.36,0.54,1.9,0.03681055593750031
Tm3+,Cr3+,Al3+,1.02,1.25,0.755,1.66,0.675,1.61,-0.04677715690624993
Ca2+,Tm3+,Ti4+,1.14,1.0,1.02,1.25,0.745,1.54,-0.1352347421874988
Ba2+,Ga3+,Ge4+,1.49,0.89,0.76,1.81,0.67,2.01,-0.09989537324999986
Er3+,Y3+,Ga3+,1.03,1.24,1.04,1.22,0.76,1.81,0.01729071540625
Na1+,In3+,P5+,1.16,0.93,0.94,1.78,0.52,2.19,-0.41936356881250064
Y3+,Cr3+,Al3+,1.04,1.22,0.755,1.66,0.675,1.61,-0.05652576612500013
Mg2+,Er3+,Ti4+,0.86,1.31,1.03,1.24,0.745,1.54,0.1247431455625005
Mg2+,Lu3+,Ge4+,0.86,1.31,1.001,1.27,0.67,2.01,0.034782591187500954
Sm3+,Ga3+,Ga3+,1.0979999999999999,1.17,0.76,1.81,0.76,1.81,-0.0673988032187502
Sm3+,Lu3+,Ga3+,1.0979999999999999,1.17,1.001,1.27,0.76,1.81,-0.06523243265624892
Mg2+,Y3+,Sn4+,0.86,1.31,1.04,1.22,0.83,1.96,0.2802661368750005
Lu3+,Sc3+,Al3+,1.001,1.27,0.885,1.36,0.675,1.61,-0.0085404337812502
La3+,Lu3+,Al3+,1.172,1.1,1.001,1.27,0.675,1.61,-0.05320700693749991
Y3+,Dy3+,Al3+,1.04,1.22,1.052,1.22,0.675,1.61,0.010456362500000437
Tm3+,Lu3+,Al3+,1.02,1.25,1.001,1.27,0.675,1.61,0.005091102031249406
Zn2+,Al3+,Si4+,0.88,1.65,0.675,1.61,0.54,1.9,0.07063228975000087
Tm3+,Dy3+,Al3+,1.02,1.25,1.052,1.22,0.675,1.61,0.03987288034374927
Bi3+,Cr3+,Ga3+,1.17,2.02,0.755,1.66,0.76,1.81,-0.030482893312500182
Lu3+,Ho3+,Ga3+,1.001,1.27,1.041,1.23,0.76,1.81,0.042701972906250066
Lu3+,Y3+,Ga3+,1.001,1.27,1.04,1.22,0.76,1.81,0.051079156656251
Tm3+,Cr3+,Ga3+,1.02,1.25,0.755,1.66,0.76,1.81,-0.05464352028125034
Na1+,Sc3+,As5+,1.16,0.93,0.885,1.36,0.6,2.18,-0.35783433399999964
La3+,Ga3+,Al3+,1.172,1.1,0.76,1.81,0.675,1.61,-0.0224076740000001
La3+,Ho3+,Ga3+,1.172,1.1,1.041,1.23,0.76,1.81,-0.0662347973750002
Bi3+,Lu3+,Al3+,1.17,2.02,1.001,1.27,0.675,1.61,0.004551490499999389
Eu3+,Al3+,Ga3+,1.087,1.2,0.675,1.61,0.76,1.81,-0.03248337420312488
Y3+,Er3+,Al3+,1.04,1.22,1.03,1.24,0.675,1.61,-0.0023355036875003067
Ho3+,Tm3+,Al3+,1.041,1.23,1.02,1.25,0.675,1.61,-0.0011923721250006736
Mg2+,Lu3+,Ti4+,0.86,1.31,1.001,1.27,0.745,1.54,0.11075352493750046
La3+,Cr3+,Ga3+,1.172,1.1,0.755,1.66,0.76,1.81,-0.07614231849999982
Lu3+,Er3+,Ga3+,1.001,1.27,1.03,1.24,0.76,1.81,0.03581775084374996
Lu3+,Rh3+,Al3+,1.001,1.27,0.805,2.28,0.675,1.61,0.003831936406250236
Yb3+,Ho3+,Al3+,1.008,1.1,1.041,1.23,0.675,1.61,-0.1668572164375
Lu3+,Y3+,Al3+,1.001,1.27,1.04,1.22,0.675,1.61,0.06065332803125045
Dy3+,Dy3+,Al3+,1.052,1.22,1.052,1.22,0.675,1.61,0.01109836924999925
Nd3+,Sc3+,Ga3+,1.123,1.14,0.885,1.36,0.76,1.81,-0.0884372947500001
Sm3+,Lu3+,Al3+,1.0979999999999999,1.17,1.001,1.27,0.675,1.61,-0.04787500665625011
Dy3+,Rh3+,Al3+,1.052,1.22,0.805,2.28,0.675,1.61,-0.019003727750000365
Dy3+,Lu3+,Ga3+,1.052,1.22,1.001,1.27,0.76,1.81,-0.03149614381249925
Yb3+,Ho3+,Ga3+,1.008,1.1,1.041,1.23,0.76,1.81,-0.17788906006250044
Ca2+,Yb3+,Ti4+,1.14,1.0,1.008,1.1,0.745,1.54,-0.23493288174999877
Zn2+,Al3+,Ge4+,0.88,1.65,0.675,1.61,0.67,2.01,0.04107998725000037
Ca2+,Y3+,Sn4+,1.14,1.0,1.04,1.22,0.83,1.96,0.016967629750000057
Ca2+,Er3+,Si4+,1.14,1.0,1.03,1.24,0.54,1.9,-0.1288670974375002
Yb3+,In3+,Al3+,1.008,1.1,0.94,1.78,0.675,1.61,-0.1817225129999997
Gd3+,Ga3+,Ga3+,1.075,1.2,0.76,1.81,0.76,1.81,-0.05309965503125014
Sm3+,Yb3+,Ga3+,1.0979999999999999,1.17,1.008,1.1,0.76,1.81,-0.16061217859374963
Sr2+,Lu3+,Ti4+,1.32,0.95,1.001,1.27,0.745,1.54,-0.20710342306250026
